,date = april,date = may,date = june,date = july,date = august,date = september,date = october,plant_stand = normal,plant_stand = lt_normal,precip = lt_norm,precip = norm,precip = gt_norm,temp = lt_norm,temp = norm,temp = gt_norm,crop_hist = diff_lst_year,crop_hist = same_lst_yr,crop_hist = same_lst_two_yrs,crop_hist = same_lst_sev_yrs,area_damaged = scattered,area_damaged = low_areas,area_damaged = upper_areas,area_damaged = whole_field,plant_growth = norm,plant_growth = abnorm,leaves = norm,leaves = abnorm,stem = norm,stem = abnorm,stem_cankers = absent,stem_cankers = below_soil,stem_cankers = above_soil,stem_cankers = above_sec_nde,canker_lesion = dna,canker_lesion = brown,canker_lesion = dk_brown_blk,canker_lesion = tan,external_decay = absent,external_decay = firm_and_dry,external_decay = watery,mycelium = absent,mycelium = present,int_discolor = none,int_discolor = brown,int_discolor = black,sclerotia = absent,sclerotia = present,roots = norm,roots = rotted,roots = galls_cysts,
T-0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-4,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-5,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-6,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-7,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-8,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
T-9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
