,handicapped_infants = n,handicapped_infants = y,handicapped_infants = other,water_project_cost_sharing = n,water_project_cost_sharing = y,water_project_cost_sharing = other,adoption_of_the_budget_resolution = n,adoption_of_the_budget_resolution = y,adoption_of_the_budget_resolution = other,physician_fee_freeze = n,physician_fee_freeze = y,physician_fee_freeze = other,el_salvador_aid = n,el_salvador_aid = y,el_salvador_aid = other,religious_groups_in_schools = n,religious_groups_in_schools = y,religious_groups_in_schools = other,anti_satellite_test_ban = n,anti_satellite_test_ban = y,anti_satellite_test_ban = other,aid_to_nicaraguan_contras = n,aid_to_nicaraguan_contras = y,aid_to_nicaraguan_contras = other,mx_missile = n,mx_missile = y,mx_missile = other,immigration = n,immigration = y,immigration = other,synfuels_corporation_cutback = n,synfuels_corporation_cutback = y,synfuels_corporation_cutback = other,education_spending = n,education_spending = y,education_spending = other,superfund_right_to_sue = n,superfund_right_to_sue = y,superfund_right_to_sue = other,crime = n,crime = y,crime = other,duty_free_exports = n,duty_free_exports = y,duty_free_exports = other,export_administration_act_south_africa = n,export_administration_act_south_africa = y,export_administration_act_south_africa = other,
T-0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
T-1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
T-2,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
T-3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
T-4,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
T-5,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
T-6,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
T-7,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
T-8,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
T-9,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
T-10,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
T-11,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
